feature,reason
acc_open_past_24mths,"availability guard: missingness moves -12.2% from train to valid, so the column partly encodes the vintage"
avg_cur_bal,"availability guard: missingness moves -19.2% from train to valid, so the column partly encodes the vintage"
bc_open_to_buy,"availability guard: missingness moves -11.9% from train to valid, so the column partly encodes the vintage"
bc_util,"availability guard: missingness moves -11.8% from train to valid, so the column partly encodes the vintage"
dti_post_loan,excluded from 'primary': interest rate is recoverable from instalment
est_payment_to_income,excluded from 'primary': interest rate is recoverable from instalment
installment,excluded from 'primary': interest rate is recoverable from instalment
mo_sin_old_il_acct,"availability guard: missingness moves -18.9% from train to valid, so the column partly encodes the vintage"
mo_sin_old_rev_tl_op,"availability guard: missingness moves -19.2% from train to valid, so the column partly encodes the vintage"
mo_sin_rcnt_rev_tl_op,"availability guard: missingness moves -19.2% from train to valid, so the column partly encodes the vintage"
mo_sin_rcnt_tl,"availability guard: missingness moves -19.2% from train to valid, so the column partly encodes the vintage"
mort_acc,"availability guard: missingness moves -12.2% from train to valid, so the column partly encodes the vintage"
mths_since_last_delinq,"availability guard: missingness moves -7.3% from train to valid, so the column partly encodes the vintage"
mths_since_last_major_derog,"availability guard: missingness moves -9.8% from train to valid, so the column partly encodes the vintage"
mths_since_last_record,"availability guard: missingness moves -5.7% from train to valid, so the column partly encodes the vintage"
mths_since_recent_bc,"availability guard: missingness moves -11.9% from train to valid, so the column partly encodes the vintage"
mths_since_recent_bc_dlq,"availability guard: missingness moves -7.2% from train to valid, so the column partly encodes the vintage"
mths_since_recent_inq,"availability guard: missingness moves -11.7% from train to valid, so the column partly encodes the vintage"
mths_since_recent_revol_delinq,"availability guard: missingness moves -8.4% from train to valid, so the column partly encodes the vintage"
num_accts_ever_120_pd,"availability guard: missingness moves -19.2% from train to valid, so the column partly encodes the vintage"
num_actv_bc_tl,"availability guard: missingness moves -19.2% from train to valid, so the column partly encodes the vintage"
num_actv_rev_tl,"availability guard: missingness moves -19.2% from train to valid, so the column partly encodes the vintage"
num_bc_sats,"availability guard: missingness moves -15.2% from train to valid, so the column partly encodes the vintage"
num_bc_tl,"availability guard: missingness moves -19.2% from train to valid, so the column partly encodes the vintage"
num_il_tl,"availability guard: missingness moves -19.2% from train to valid, so the column partly encodes the vintage"
num_op_rev_tl,"availability guard: missingness moves -19.2% from train to valid, so the column partly encodes the vintage"
num_rev_accts,"availability guard: missingness moves -19.2% from train to valid, so the column partly encodes the vintage"
num_rev_tl_bal_gt_0,"availability guard: missingness moves -19.2% from train to valid, so the column partly encodes the vintage"
num_sats,"availability guard: missingness moves -15.2% from train to valid, so the column partly encodes the vintage"
num_tl_120dpd_2m,"availability guard: missingness moves -17.9% from train to valid, so the column partly encodes the vintage"
num_tl_30dpd,"availability guard: missingness moves -19.2% from train to valid, so the column partly encodes the vintage"
num_tl_90g_dpd_24m,"availability guard: missingness moves -19.2% from train to valid, so the column partly encodes the vintage"
num_tl_op_past_12m,"availability guard: missingness moves -19.2% from train to valid, so the column partly encodes the vintage"
pct_tl_nvr_dlq,"availability guard: missingness moves -19.2% from train to valid, so the column partly encodes the vintage"
percent_bc_gt_75,"availability guard: missingness moves -11.9% from train to valid, so the column partly encodes the vintage"
tot_coll_amt,"availability guard: missingness moves -19.2% from train to valid, so the column partly encodes the vintage"
tot_cur_bal,"availability guard: missingness moves -19.2% from train to valid, so the column partly encodes the vintage"
tot_hi_cred_lim,"availability guard: missingness moves -19.2% from train to valid, so the column partly encodes the vintage"
total_bal_ex_mort,"availability guard: missingness moves -12.2% from train to valid, so the column partly encodes the vintage"
total_bc_limit,"availability guard: missingness moves -12.2% from train to valid, so the column partly encodes the vintage"
total_il_high_credit_limit,"availability guard: missingness moves -19.2% from train to valid, so the column partly encodes the vintage"
total_rev_hi_lim,"availability guard: missingness moves -19.2% from train to valid, so the column partly encodes the vintage"
