feature,kind,psi,ks,severity,reference_mean,current_mean,missing_shift
initial_list_status,categorical,1.0062177063533864,,significant,,,0.0
application_type,categorical,0.790127551066857,,significant,,,0.0
revol_util_clipped,numeric,0.14968149025428754,0.16905716061592102,moderate,55.62336349487305,46.48655319213867,0.0
revol_util,numeric,0.14968149025428754,0.16905716061592102,moderate,55.62336349487305,46.48655319213867,0.0
inq_last_6mths,numeric,0.10167268430021975,0.1320694088935852,moderate,0.8100282549858093,0.5023037791252136,0.0
inq_last_6mths_capped,numeric,0.10167268430021975,0.1320694088935852,moderate,0.8100282549858093,0.5023037791252136,0.0
verification_status,categorical,0.09959552168274642,,stable,,,0.0
open_acc_ratio,numeric,0.09009489693868217,0.128953754901886,stable,0.4891313314437866,0.5437206625938416,0.0
purpose,categorical,0.0772704846843433,,stable,,,0.0
dti,numeric,0.05905814548322659,0.08780157566070557,stable,16.46638298034668,18.14461326599121,0.0
dti_clean,numeric,0.05905809837622354,0.08780157566070557,stable,16.46638298034668,18.144628524780273,0.0
loan_amnt,numeric,0.0435977969988649,0.051524579524993896,stable,12198.9482421875,12818.095703125,0.0
emp_length,categorical,0.041005496594109875,,stable,,,0.0
addr_state,categorical,0.030500404137021504,,stable,,,0.0
loan_to_income,numeric,0.03029371904544298,0.057001858949661255,stable,0.19559815526008606,0.19114181399345398,0.0
revol_bal_to_income,numeric,0.03002410569107364,0.07347330451011658,stable,0.22324980795383453,0.2104564905166626,0.0
total_acc,numeric,0.026543558445845453,0.06537628173828125,stable,24.119739532470703,22.714582443237305,0.0
open_acc,numeric,0.025705897205895785,0.049609243869781494,stable,10.790454864501953,11.382477760314941,0.0
revol_bal,numeric,0.023433096009440844,0.0487469881772995,stable,14654.201171875,15137.126953125,0.0
home_ownership,categorical,0.02160609052293338,,stable,,,0.0
log_annual_inc,numeric,0.018098810411760723,0.04830235242843628,stable,11.012530326843262,11.069296836853027,0.0
annual_inc,numeric,0.018098662451519962,0.04830235242843628,stable,70176.5390625,76236.4140625,0.0
credit_history_months,numeric,0.01745414942150082,0.03870558738708496,stable,185.65516662597656,194.35671997070312,0.0
fico_range_low,numeric,0.014510672356464135,0.043523311614990234,stable,697.3212280273438,700.3872680664062,0.0
fico_mid,numeric,0.014510672356464135,0.043523311614990234,stable,699.3212280273438,702.38720703125,0.0
fico_range_high,numeric,0.014510672356464135,0.043523311614990234,stable,701.3212280273438,704.38720703125,0.0
pub_rec,numeric,0.01314034234819161,0.040065884590148926,stable,0.14545553922653198,0.20042383670806885,0.0
pub_rec_bankruptcies,numeric,0.006932117048082214,0.026343584060668945,stable,0.10348635166883469,0.13241249322891235,0.0
delinq_2yrs,numeric,0.0029181922050048634,0.020587027072906494,stable,0.2575322985649109,0.3040618598461151,0.0
collections_12_mths_ex_med,numeric,0.0,0.014018595218658447,stable,0.005796640645712614,0.019815189763903618,0.0
chargeoff_within_12_mths,numeric,0.0,0.002161085605621338,stable,0.0054578762501478195,0.007618970703333616,0.0
delinq_amnt,numeric,0.0,0.0011805295944213867,stable,0.2921465039253235,0.4909544587135315,0.0
tax_liens,numeric,0.0,0.01314324140548706,stable,0.024386877194046974,0.04486210271716118,0.0
acc_now_delinq,numeric,0.0,0.0008088350296020508,stable,0.0027477582916617393,0.003556598676368594,0.0
has_derogatory,numeric,0.0,0.05220293998718262,stable,0.12782303988933563,0.18002599477767944,0.0
has_pub_rec,numeric,0.0,0.040065884590148926,stable,0.12339400500059128,0.1634598970413208,0.0
has_delinq_2yrs,numeric,0.0,0.020587027072906494,stable,0.16624565422534943,0.18683269619941711,0.0
has_collections,numeric,0.0,0.014018595218658447,stable,0.005796640645712614,0.019815189763903618,0.0
has_bankruptcy,numeric,0.0,0.026343584060668945,stable,0.10019489377737045,0.1265384405851364,0.0
term,categorical,0.0,,stable,,,0.0
