group,n,share,observed_rate,mean_predicted,observed_expected,roc_auc,approval_rate,tpr,fpr
CA,41377,0.14619504921809304,0.1525968533243106,0.14111449411676927,0.9247536305146598,0.6784436776190296,0.6088164922541509,0.6137155527399429,0.3511108575991786
TX,23530,0.0831372382749288,0.14938376540586484,0.1226522810022501,0.8210549564674097,0.6576320675567293,0.7069698257543562,0.46372688477951635,0.2630527104671496
NY,23386,0.0826284510963657,0.163815958265629,0.14971831912402336,0.9139422111809998,0.6605800117612974,0.5607200889421021,0.6251631427825634,0.4028637177192534
FL,20374,0.07198631927808753,0.16143123588887798,0.15724811020287746,0.9740872597365234,0.6560929902381214,0.5111416511239816,0.6734569778048038,0.453321627158326
IL,11609,0.041017433027354375,0.1309328968903437,0.1221419975585126,0.9328595063531399,0.6680592724749728,0.7106555258850892,0.4585526315789474,0.26385171969471705
NJ,10088,0.03564336845378163,0.15761300555114988,0.14673243351475274,0.9309665341489469,0.6557976645633231,0.5770222045995241,0.6119496855345912,0.38762061661567426
PA,9505,0.03358348702946019,0.15086796422935297,0.1311336777337341,0.8691949838627215,0.6446222481197641,0.6655444502893214,0.4895397489539749,0.3069012513938793
GA,9383,0.033152431225399785,0.12853032079292337,0.12924140574078297,1.0055324295736041,0.6878582506326141,0.662474688266013,0.5696517412935324,0.3032897150544209
OH,9168,0.03239278370185071,0.156304537521815,0.14019556735803412,0.8969385635299769,0.6790659363213857,0.6133289703315882,0.592463363572924,0.3485455720749838
MI,7737,0.027336711114879904,0.14553444487527464,0.14602883715645218,1.0033970808876294,0.6736309015089496,0.569988367584335,0.6403197158081705,0.3941914990167902
VA,7659,0.027061118059824894,0.1387909648779214,0.13756335991210483,0.9911550080590884,0.6772892376975812,0.6222744483614049,0.6039510818438382,0.34126743480897515
NC,7644,0.027008119395391238,0.15253793825222398,0.13863446448081712,0.9088523554814459,0.6572306743976313,0.620355834641549,0.5703259005145798,0.3453226304414943
AZ,6652,0.023503141054178767,0.15168370414912807,0.1344445490243727,0.8863480080377871,0.6728001943170687,0.6345460012026458,0.5728444003964321,0.32837143363459154
MD,6467,0.02284949085949701,0.15153858048554197,0.13889380815293886,0.9165574054337303,0.6718204066755188,0.617442399876295,0.5887755102040816,0.3457262620739931
MA,6370,0.02250676616282603,0.130298273155416,0.1331377062926341,1.0217917940772039,0.6964938454177723,0.6442700156985871,0.6168674698795181,0.31660649819494585
WA,6017,0.02125953092648732,0.11367791258102045,0.12304905771272356,1.0824359360489146,0.6643230443130766,0.7026757520358983,0.48391812865497075,0.2733920870054378
CO,5967,0.021082868711708464,0.1191553544494721,0.11451727800619302,0.9610753837734932,0.6937270271253856,0.7425842131724485,0.47257383966244726,0.228310502283105
