group,n,share,observed_rate,mean_predicted,observed_expected,roc_auc,approval_rate,tpr,fpr
10+ years,89647,0.31674475136559893,0.1333786964427142,0.12361694491855331,0.9268117639134857,0.6774584449987708,0.7023547915713856,0.501129045747261,0.26632771270433775
2 years,25879,0.09143682912523937,0.1468372039105066,0.13992916477485845,0.9529544355812005,0.6630542954605592,0.6074423277560956,0.5873684210526315,0.3590289415281489
< 1 year,24077,0.08506992290460948,0.15192922706317233,0.1437373326475349,0.9460808524206391,0.65673784300908,0.5915604103501266,0.5970475669764899,0.37465106028698764
3 years,23094,0.0815967437620572,0.1480038105135533,0.14028730824777133,0.9478628135383357,0.6673392010844849,0.606997488525158,0.5944997074312464,0.3579995934132954
1 year,19233,0.06795488753683407,0.15748973119118181,0.13825069103076734,0.8778393993379823,0.6574638202795506,0.613944782405241,0.5681743149554308,0.3520118489261911
__missing__,18960,0.06699031184414153,0.21577004219409282,0.19732789267955242,0.9145286837458602,0.6464179081192402,0.3159282700421941,0.8225372769494012,0.645974846997108
5 years,16884,0.0596552966865235,0.1496090973702914,0.1378126334016843,0.9211514261100703,0.6657465796308999,0.6213574982231699,0.5756136183689627,0.3439894135673492
4 years,16745,0.05916417572943829,0.1503732457449985,0.13678132477144261,0.909612106154808,0.6593278517678269,0.6278889220662884,0.5615567911040509,0.33858157025374286
8 years,14265,0.05040172987640711,0.14833508587451805,0.13702748076486043,0.9237698549672656,0.6649373383823822,0.6258675078864353,0.5713610586011342,0.33978105193843117
7 years,12156,0.04295011765703504,0.14700559394537677,0.1368081497804016,0.9306322712538119,0.670374647256579,0.6262750904902928,0.5747062115277001,0.3390876651557527
6 years,11178,0.039494604735960656,0.1450169976740025,0.14408082663207716,0.9935444047460571,0.668353397908597,0.5882984433709071,0.6175200493522517,0.37679188029716437
9 years,10908,0.03854062877615484,0.1476897689768977,0.13613621198254494,0.9217714464963378,0.6634060352127633,0.6273377337733773,0.5673494723774053,0.3389265354415403
