band,n,mean_predicted,observed_rate,bad_count,cum_bad_share,cum_population_share,lift
1,28303,0.27480819005816587,0.29947355404020776,8476.0,0.2011772524446976,0.10000141329771824,2.01174409251362
2,28303,0.2054433673503874,0.22859767515811044,6470.0,0.3547422386784392,0.20000282659543647,1.5356281593396792
3,28303,0.17166646590622828,0.19966081334134192,5651.0,0.48886831861767777,0.30000423989315467,1.3412418436520137
4,28303,0.14681810240745682,0.1735505070133908,4912.0,0.6054542865280547,0.40000565319087295,1.1658432022683933
5,28303,0.12652654863219365,0.15245733667809067,4315.0,0.7078705022310833,0.5000070664885912,1.0241476827744538
6,28303,0.10853187265584582,0.1303748719217044,3690.0,0.795452387733789,0.6000084797863093,0.8758064772740984
7,28302,0.09216998604991299,0.11034555861776553,3123.0,0.869576568878762,0.700006359839732,0.7412575257132751
8,28302,0.07623914552737865,0.0904883047134478,2561.0,0.9303617203076047,0.8000042398931547,0.6078644006889842
9,28302,0.05935610783598236,0.06709773160907356,1899.0,0.9754343491882654,0.9000021199465773,0.45073584416570905
10,28302,0.035717776017835656,0.03656985372058512,1035.0,1.0,1.0,0.245661716014486
