feature,importance
fico_range_low,55550.36642372608
addr_state,46379.99851799011
annual_inc,33754.739283800125
purpose,25933.693601965904
loan_to_income,21802.612794160843
fico_range_high,19056.00160765648
emp_length,17463.43437588215
inq_last_6mths,15531.698016643524
dti,13021.071272492409
open_acc_ratio,12369.937697410583
credit_history_months,10634.537052989006
log_annual_inc,10598.680104970932
revol_bal_to_income,9776.739292502403
revol_util,9729.219544172287
loan_amnt,9376.814703702927
revol_bal,8964.459454417229
home_ownership,6555.408545732498
dti_clean,6289.460155129433
inq_last_6mths_capped,5671.186227798462
fico_mid,5457.239463806152
total_acc,4228.690150499344
open_acc,3829.0926439762115
revol_util_clipped,3717.4994106292725
verification_status,1429.2684571743011
delinq_2yrs,1068.819283246994
pub_rec,799.1887154579163
initial_list_status,798.5020711421967
has_derogatory,485.54795932769775
has_pub_rec,307.94979190826416
pub_rec_bankruptcies,295.2802107334137
has_delinq_2yrs,231.81499814987183
has_bankruptcy,167.36021971702576
chargeoff_within_12_mths,163.77499055862427
tax_liens,151.4745397567749
collections_12_mths_ex_med,5.392670154571533
delinq_amnt,4.17031991481781
acc_now_delinq,0.0
has_collections,0.0
term,0.0
application_type,0.0
