feature,coefficient,abs_coefficient
categorical__purpose_small_business,0.6911424381263097,0.6911424381263097
categorical__addr_state_DC,-0.44222574104211804,0.44222574104211804
categorical__addr_state_WV,-0.4227079546316763,0.4227079546316763
categorical__emp_length___missing__,0.4013471134448519,0.4013471134448519
categorical__purpose_credit_card,-0.3868990690039175,0.3868990690039175
categorical__addr_state_NH,-0.3791247905969439,0.3791247905969439
categorical__addr_state_MT,-0.33533077566524927,0.33533077566524927
numeric__log_annual_inc,-0.2632387917011491,0.2632387917011491
categorical__purpose_medical,0.2473256933038334,0.2473256933038334
categorical__addr_state_KS,-0.23241536029374374,0.23241536029374374
categorical__addr_state_CO,-0.2125647398414139,0.2125647398414139
categorical__purpose_wedding,-0.21251369837764078,0.21251369837764078
categorical__addr_state_NV,0.20938635115201273,0.20938635115201273
categorical__purpose_moving,0.20659937903953035,0.20659937903953035
categorical__purpose_major_purchase,-0.19218539614809804,0.19218539614809804
categorical__addr_state_TN,0.1897608127568664,0.1897608127568664
categorical__addr_state_IL,-0.18416159439004806,0.18416159439004806
categorical__home_ownership_RENT,0.17507429093636573,0.17507429093636573
categorical__addr_state_SC,-0.1733546143985569,0.1733546143985569
categorical__purpose_debt_consolidation,-0.15295001597555954,0.15295001597555954
categorical__addr_state_WA,-0.15022428071264637,0.15022428071264637
categorical__purpose_vacation,0.1425804887437711,0.1425804887437711
categorical__addr_state_NM,0.13637671866745765,0.13637671866745765
numeric__loan_to_income,0.13626746075185603,0.13626746075185603
categorical__emp_length_6 years,0.13299852627101877,0.13299852627101877
categorical__purpose_other,0.1310251391422989,0.1310251391422989
categorical__purpose_renewable_energy,0.12712376287612995,0.12712376287612995
categorical__addr_state_PA,-0.12516667108600762,0.12516667108600762
numeric__fico_mid,-0.11849430303000741,0.11849430303000741
numeric__fico_range_high,-0.11849430303000741,0.11849430303000741
numeric__fico_range_low,-0.11849430303000741,0.11849430303000741
categorical__addr_state___other__,-0.11704513618884814,0.11704513618884814
categorical__emp_length_8 years,0.10971609420643252,0.10971609420643252
categorical__emp_length_9 years,0.10931861316421491,0.10931861316421491
numeric__annual_inc,0.10806091746244058,0.10806091746244058
categorical__addr_state_TX,-0.10718798900692834,0.10718798900692834
categorical__addr_state_NJ,0.10411966702879422,0.10411966702879422
categorical__home_ownership_OTHER,0.09989152583944153,0.09989152583944153
categorical__addr_state_FL,0.09492772655221045,0.09492772655221045
numeric__inq_last_6mths_capped,0.09287417777461582,0.09287417777461582
