bin,lower,upper,n,mean_predicted,observed_rate,gap
0,0.007017513707142116,0.041065963610064114,14152,0.030165114683475172,0.02565008479366874,0.004515029889806434
1,0.041065963610064114,0.05438280944695017,14151,0.04815294083634186,0.04748781004875981,0.000665130787582055
2,0.05438280944695017,0.06473773518145384,14151,0.05971804957964501,0.06006642640096106,-0.0003483768213160543
3,0.06473773518145384,0.07390459409141877,14152,0.06939765882980203,0.07412379875635952,-0.004726139926557488
4,0.07390459409141877,0.08260245153786437,14151,0.0782708590787427,0.08395166419334323,-0.005680805114600521
5,0.08260245153786437,0.09096700132319678,14151,0.08680219360462418,0.0970249452335524,-0.010222751628928217
6,0.09096700132319678,0.09940682168406878,14151,0.09518939464781347,0.10607024238569712,-0.010880847737883656
7,0.09940682168406878,0.10789604765683063,14152,0.10362626371966091,0.1146127755794234,-0.010986511859762488
8,0.10789604765683063,0.11653150735354291,14151,0.11220501384621873,0.12218217793795491,-0.009977164091736185
9,0.11653150735354291,0.12571719257857883,14151,0.12110092688673847,0.13864744541021837,-0.017546518523479895
10,0.12571719257857883,0.1355037235496584,14151,0.13056436368558264,0.14698607872235178,-0.016421715036769147
11,0.1355037235496584,0.1455813293466596,14152,0.14049753119390365,0.1578575466365178,-0.017360015442614146
12,0.1455813293466596,0.1565206887593356,14151,0.15097993462240838,0.16656066709066497,-0.015580732468256586
13,0.1565206887593356,0.16859303165409312,14151,0.16245721543289274,0.18055261112288884,-0.018095395689996102
14,0.16859303165409312,0.1821504338586893,14151,0.17529364258210267,0.1928485619390856,-0.017554919356982918
15,0.1821504338586893,0.1978755720445978,14152,0.18976709114508478,0.20647258338044092,-0.01670549223535614
16,0.1978755720445978,0.21650125172359708,14151,0.2069368439436153,0.2172991308034768,-0.010362286859861486
17,0.21650125172359708,0.24046486891543417,14151,0.22786486712521004,0.2399123736838386,-0.012047506558628573
18,0.24046486891543417,0.27689723234005814,14151,0.2570795423950825,0.27036958518832593,-0.013290042793243417
19,0.27689723234005814,0.5664182869003331,14152,0.31936136905126566,0.3285754663651781,-0.009214097313912428
