trial,valid_auc,num_leaves,min_child_samples,learning_rate,colsample_bytree,subsample,reg_lambda
0,0.6698041036834158,,,,,,
1,0.6695481510634197,15.0,500.0,0.03,0.8,0.85,20.0
2,0.6702465292279767,15.0,200.0,0.02,0.6,0.85,20.0
3,0.6673673988385914,63.0,500.0,0.05,1.0,0.85,0.0
4,0.667431050408019,127.0,100.0,0.03,0.8,0.7,20.0
5,0.6670434494072479,127.0,200.0,0.03,1.0,0.85,1.0
6,0.6685150457013429,31.0,50.0,0.02,0.8,1.0,0.0
7,0.6690498126566216,127.0,500.0,0.02,0.8,0.7,20.0
8,0.6682538723655466,63.0,100.0,0.02,1.0,0.85,20.0
9,0.669042462491165,63.0,500.0,0.05,0.6,0.85,1.0
10,0.6690942248843411,31.0,50.0,0.03,0.6,1.0,5.0
11,0.6670434494072479,127.0,200.0,0.03,1.0,0.85,1.0
12,0.6673635726563003,127.0,100.0,0.02,0.8,1.0,0.0
13,0.6690577561765084,31.0,50.0,0.05,0.8,0.7,0.0
14,0.6677230099032964,63.0,200.0,0.05,0.8,0.7,20.0
15,0.6689446162372293,63.0,200.0,0.02,0.6,1.0,20.0
