feature,importance
addr_state,42706.383726358414
fico_range_low,32568.512236833572
annual_inc,24760.835961580276
purpose,16380.894522666931
loan_to_income,15505.500857830048
fico_range_high,13140.664855003357
emp_length,12505.59449338913
inq_last_6mths,11958.064301490784
dti,10647.26736831665
open_acc_ratio,8179.532197475433
revol_bal_to_income,7670.10425901413
revol_util,7524.756151199341
credit_history_months,6853.46556520462
loan_amnt,5990.445628404617
revol_bal,5772.460420131683
log_annual_inc,4593.137277603149
cohort_zip3_mean_dti_clean,4481.565081119537
fico_mid,4351.597044467926
cohort_zip3_mean_fico_mid,4169.92441701889
home_ownership,3864.4122519493103
cohort_zip3_default_rate,3753.9275879859924
cohort_zip3_mean_loan_amnt,3495.8062868118286
cohort_zip3_mean_annual_inc,3149.6882944107056
cohort_emp_n_prior,2872.7962679862976
total_acc,2765.156826019287
cohort_zip3_n_prior,2647.145083427429
open_acc,2609.607237815857
cohort_zip3_n_resolved,2227.7756581306458
inq_last_6mths_capped,2009.176821231842
dti_clean,1695.4249873161316
