condition,policy,n_episodes,mean_reward,std_reward,min_reward,p05_reward,approval_rate,default_rate_of_book,capital_deployed,return_on_capital,revenue,losses,costs,review_rate
unconstrained,thompson,12.0,173319.54082576968,90188.77312581672,-16155.619537280545,28173.16844233121,0.5992361111111112,0.14911583704318612,17303640.625,0.009997585831399576,2089105.1178284865,830267.3816902168,1085518.1953125002,0.0
unconstrained,expected_profit,12.0,147180.18782483155,82293.9028044996,16565.086687722127,26735.43866638686,0.6591666666666666,0.16981816816183404,15785475.0,0.009402151855941,2035038.133997728,877328.6086728965,1010529.3375,0.0
unconstrained,fixed_threshold@0.150,12.0,134189.13520809685,65597.49919759834,8176.874385047056,43059.32182644002,0.6136111111111112,0.0999740370235676,9915852.083333334,0.013644145332044754,1118649.152666428,313764.3747499978,670695.6427083333,0.0
unconstrained,linucb@alpha=1,12.0,119251.9967466693,70415.97380491723,-21117.704583886407,7953.181716747302,0.6334027777777778,0.14187091880138114,12564365.625,0.00949906615723544,1530192.002625848,587040.8480666786,823899.1578124999,0.0
unconstrained,risk_band,12.0,95036.83142175987,58387.366294629035,-7946.366783804857,-787.3118549852979,0.9497916666666666,0.1328458162820633,11067996.875,0.008565912102090538,1280906.2656996048,389565.1108403452,796304.3234375002,0.0
unconstrained,budget_aware_q(greedy),12.0,91554.6685121986,86689.49778295383,-68421.66788712164,-37946.88657689842,0.6586805555555555,0.16172233164856537,11986463.541666666,0.007683104653906359,1536757.8627240236,649405.5041076584,795797.6901041666,0.0
unconstrained,approve_all,12.0,64455.42302589634,66209.67626260119,-68255.50467180955,-27585.729231358222,1.0,0.1507638888888889,15439547.916666666,0.004193956510477709,1892384.397259242,775594.5169416787,1052334.457291667,0.0
budget=0.60,expected_profit(lambda=0.0067),12.0,153856.4558493119,94400.87388599744,44675.41785908553,50292.03419031753,0.35118055555555555,0.16966962626175677,8424858.333333334,0.018261887115538382,1134666.2257975528,441592.77411490766,539216.9958333335,0.0
budget=0.60,fixed_threshold@0.150,12.0,135812.05835812213,52054.016785172345,34169.62120002797,66868.34427819822,0.5216666666666666,0.10031065244233554,8425066.666666666,0.0161199670914892,956205.8867414618,250477.56171667305,569916.2666666667,0.0
budget=0.60,expected_profit,12.0,133528.72923855126,62466.52916931673,39740.14078041978,55710.38502279647,0.3529166666666667,0.16432099099728167,8425108.333333334,0.0158489083721374,1104456.2612368912,431383.9111650065,539543.6208333333,0.0
budget=0.60,linucb@alpha=1,12.0,117261.70034035876,51743.25224365597,23869.581671017837,38708.068527641924,0.37749999999999995,0.14487918698280483,8424984.375,0.013918147198767742,1037446.87279616,376223.55526830116,543961.6171875,0.0
budget=0.60,budget_aware_q(greedy),12.0,109918.0880458738,52963.3531949622,37697.406339521054,45536.51510699521,0.4544444444444445,0.15378671480691541,8425294.791666666,0.013046157273944663,1078550.1629729809,410802.9191979401,557829.1557291667,0.0
