pd_stratum,mean_pd,n_high,n_low,predicted_high,observed_high,gap_high,predicted_low,observed_low,gap_low,gap_difference
0,0.03915870998747887,14151,14152,0.03691909544015245,0.0370998516005936,0.00018075616044115062,0.04139816628052692,0.03603730921424533,-0.005360857066281588,0.005541613226722739
1,0.06455802520442762,14151,14152,0.06445660002960936,0.07109038230513745,0.006633782275528091,0.06465944321240198,0.06310062182023743,-0.0015588213921645527,0.008192603667692644
2,0.08253652634168344,14151,14151,0.0825208604800475,0.09441028902551056,0.011889428545463057,0.08255219220331939,0.08656632040138507,0.004014128198065681,0.007875300347397376
3,0.09940797822922832,14151,14152,0.09938748949827234,0.1182248604338916,0.01883737093561927,0.0994284655124221,0.10245901639344263,0.0030305508810205273,0.01580682005459874
4,0.11665297036647859,14151,14151,0.1166741838138945,0.1394247756342308,0.022750591820336313,0.11663175691906268,0.12140484771394247,0.004773090794879795,0.01797750102545652
5,0.1355311229188003,14151,14152,0.1355009561060028,0.15617270864249877,0.020671752536495974,0.13556128759996883,0.14867156585641605,0.013110278256447228,0.007561474280048747
6,0.15671857502765055,14151,14151,0.15685296217583478,0.18380326478694084,0.026950302611106064,0.15658418787946632,0.16331001342661297,0.006725825547146652,0.020224477063959412
7,0.18253062255112798,14151,14152,0.1826000909462716,0.20606317574729702,0.023463084801025408,0.18246115906471774,0.19325890333521764,0.010797744270499898,0.01266534053052551
8,0.21740085553441266,14151,14151,0.21759444959983332,0.23242173697971874,0.014827287379885423,0.21720726146899205,0.22478976750759663,0.007582506038604581,0.007244781341280843
9,0.28822155599216776,14151,14152,0.2939222433345497,0.3154547381810473,0.021532494846497607,0.28252127146828093,0.2834934991520633,0.0009722276837823562,0.02056026716271525
