pd_stratum,mean_pd,n_high,n_low,predicted_high,observed_high,gap_high,predicted_low,observed_low,gap_low,gap_difference
0,0.03915870998747887,14151,14152,0.038921465565061125,0.034485195392551765,-0.00443627017250936,0.03939593764587581,0.03865178066704353,-0.0007441569788322819,-0.003692113193677078
1,0.06455802520442762,14151,14152,0.0645380348723191,0.06550773796904813,0.0009697030967290299,0.06457801412399147,0.06868287167891464,0.004104857554923166,-0.0031351544581941365
2,0.08253652634168344,14151,14151,0.08249782584346727,0.0905943042894495,0.008096478445982241,0.08257522683989962,0.09038230513744612,0.007807078297546496,0.000289400148435745
3,0.09940797822922832,14151,14152,0.09937346131375496,0.11193555225779096,0.012562090944036,0.09944249270568845,0.10874788015828152,0.009305387452593072,0.0032567034914429277
4,0.11665297036647859,14151,14151,0.1166559351493105,0.1327821355381245,0.016126200388814016,0.1166500055836467,0.12804748781004877,0.011397482226402064,0.004728718162411952
5,0.1355311229188003,14151,14152,0.13552239112270184,0.15221539113843544,0.016693000015733594,0.13553985409789787,0.15262860373092144,0.017088749633023564,-0.00039574961728996993
6,0.15671857502765055,14151,14151,0.15666536948826626,0.17051798459472828,0.013852615106462018,0.15677178056703484,0.17659529361882553,0.019823513051790698,-0.005970897945328679
7,0.18253062255112798,14151,14152,0.18255434696263717,0.20408451699526536,0.021530170032628193,0.18250689981601873,0.19523742227247032,0.012730522456451593,0.0087996475761766
8,0.21740085553441266,14151,14151,0.21749643652264697,0.22917108331566674,0.011674646793019772,0.2173052745461784,0.22804042117164863,0.010735146625470232,0.0009395001675495396
9,0.28822155599216776,14151,14152,0.28901430856231436,0.2984241396367748,0.009409831074460417,0.28742885943902025,0.3005228942905596,0.013094034851539371,-0.0036842037770789537
