pd_stratum,mean_pd,n_high,n_low,predicted_high,observed_high,gap_high,predicted_low,observed_low,gap_low,gap_difference
0,0.03915870998747887,13676,14627,0.04007348829221905,0.03963147119040655,-0.0004420171018124988,0.03830340759494268,0.033704792507007586,-0.004598615087935097,0.004156597986122598
1,0.06455802520442762,11902,16401,0.06399758931722462,0.06545118467484456,0.0014535953576199495,0.0649647264988298,0.06828851899274435,0.003323792493914554,-0.0018701971362946046
2,0.08253652634168344,13546,14756,0.08215440920517086,0.09161376051971061,0.009459351314539746,0.08288730966583628,0.08945513689346707,0.0065678272276307875,0.0028915240869089587
3,0.09940797822922832,13986,14317,0.09930338453954982,0.11125411125411125,0.011950726714561433,0.09951015377884373,0.10945030383460222,0.00994015005575849,0.002010576658802943
4,0.11665297036647859,14147,14155,0.11681894809874939,0.1337386018237082,0.016919653724958808,0.11648708644006142,0.1270929000353232,0.010605813595261776,0.006313840129697032
5,0.1355311229188003,13634,14669,0.13510682604855467,0.15373331377438756,0.01862648772583289,0.13592548269308133,0.15120321766991615,0.015277734976834823,0.0033487527489980684
6,0.15671857502765055,13618,14684,0.15656319708444913,0.17697165516228522,0.02040845807783609,0.15686267315013194,0.17038953963497686,0.013526866484844913,0.006881591592991176
7,0.18253062255112798,14092,14211,0.1828317541981816,0.20500993471473175,0.022178180516550156,0.182232012518739,0.19435648441348252,0.012124471894743527,0.010053708621806628
8,0.21740085553441266,13896,14406,0.21718574959467868,0.22956246401842256,0.012376714423743884,0.21760834631176537,0.22768290989865334,0.010074563586887963,0.0023021508368559207
9,0.28822155599216776,14001,14302,0.28813375482810694,0.30269266480965645,0.014558909981549517,0.2883075092922668,0.2963221927003216,0.008014683408054835,0.0065442265734946825
